Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
male,44,189.0,88.0,13.0,94.0,40.0,65.0
female,45,160.0,60.0,16.0,99.0,40.4,91.0
female,49,164.0,64.0,19.0,105.0,40.4,120.0
female,46,166.0,68.0,12.0,101.0,40.1,70.0
male,25,202.0,100.0,9.0,94.0,39.8,39.0
male,68,171.0,80.0,22.0,95.0,40.5,136.0
female,25,169.0,64.0,14.0,101.0,40.2,77.0
female,31,174.0,67.0,9.0,93.0,39.5,42.0
male,57,184.0,91.0,7.0,95.0,39.2,41.0
female,27,159.0,59.0,14.0,88.0,39.9,59.0
male,40,201.0,98.0,24.0,110.0,40.7,179.0
female,57,171.0,74.0,2.0,73.0,38.6,6.0
female,23,155.0,62.0,5.0,74.0,39.2,13.0
male,23,189.0,87.0,23.0,110.0,40.0,147.0
male,43,183.0,88.0,26.0,107.0,40.7,180.0
male,74,201.0,107.0,14.0,96.0,40.1,101.0
female,45,158.0,53.0,23.0,106.0,40.7,150.0
female,31,165.0,60.0,25.0,115.0,40.8,179.0
male,21,195.0,93.0,6.0,93.0,39.2,23.0
male,50,190.0,96.0,3.0,80.0,38.3,10.0
male,39,175.0,74.0,9.0,93.0,39.5,39.0
male,57,169.0,81.0,30.0,112.0,40.9,247.0
female,26,159.0,53.0,19.0,92.0,40.5,89.0
male,34,181.0,83.0,25.0,102.0,40.9,141.0
female,55,160.0,62.0,4.0,87.0,39.1,18.0
female,52,171.0,67.0,15.0,89.0,40.6,70.0
male,21,188.0,90.0,29.0,110.0,40.8,185.0
female,20,136.0,45.0,11.0,94.0,40.1,54.0
female,79,152.0,60.0,29.0,107.0,40.8,207.0
male,21,189.0,91.0,27.0,114.0,41.0,189.0
male,50,171.0,74.0,2.0,82.0,38.1,6.0
female,29,180.0,76.0,12.0,97.0,39.9,60.0
male,22,194.0,92.0,6.0,92.0,39.0,23.0
female,28,158.0,60.0,27.0,113.0,40.8,186.0
male,38,188.0,93.0,28.0,104.0,40.9,178.0
male,23,169.0,73.0,25.0,102.0,40.7,122.0
female,68,159.0,68.0,24.0,108.0,40.5,166.0
male,79,176.0,86.0,20.0,102.0,40.1,158.0
female,35,182.0,70.0,2.0,83.0,38.4,7.0
male,67,201.0,96.0,18.0,105.0,40.5,143.0
female,21,156.0,52.0,12.0,82.0,39.8,43.0
female,44,143.0,49.0,17.0,92.0,40.2,86.0
female,43,175.0,72.0,23.0,100.0,40.7,128.0
male,21,186.0,79.0,29.0,111.0,41.0,182.0
female,32,170.0,70.0,10.0,98.0,39.7,52.0
male,79,179.0,91.0,27.0,107.0,40.4,236.0
male,51,192.0,96.0,19.0,97.0,40.6,114.0
female,60,174.0,67.0,11.0,99.0,39.7,64.0
male,49,184.0,86.0,26.0,103.0,40.8,171.0
male,46,179.0,84.0,6.0,82.0,39.2,19.0
female,35,149.0,54.0,21.0,111.0,40.5,144.0
male,31,172.0,76.0,9.0,94.0,39.7,37.0
male,42,185.0,78.0,26.0,110.0,41.4,185.0
female,66,174.0,69.0,13.0,87.0,39.8,60.0
male,52,189.0,90.0,22.0,96.0,40.5,127.0
male,59,166.0,73.0,23.0,101.0,40.4,149.0
male,23,169.0,71.0,16.0,102.0,40.1,78.0
female,49,164.0,63.0,5.0,91.0,38.9,24.0
female,25,157.0,57.0,23.0,107.0,40.8,143.0
male,20,188.0,84.0,27.0,104.0,41.0,143.0
female,28,163.0,66.0,15.0,94.0,40.1,71.0
male,60,182.0,90.0,11.0,90.0,40.2,58.0
female,29,178.0,77.0,15.0,95.0,40.4,71.0
male,40,184.0,87.0,5.0,88.0,39.5,20.0
male,26,191.0,93.0,17.0,96.0,40.3,78.0
female,26,176.0,76.0,19.0,97.0,40.4,93.0
male,25,158.0,58.0,6.0,90.0,39.2,17.0
female,60,190.0,87.0,3.0,84.0,38.9,12.0
male,25,181.0,81.0,23.0,101.0,40.8,115.0
female,39,165.0,65.0,19.0,106.0,40.6,119.0
female,30,153.0,53.0,26.0,108.0,40.6,168.0
male,23,198.0,100.0,12.0,90.0,40.4,44.0
female,37,148.0,51.0,29.0,108.0,40.6,192.0
female,22,147.0,47.0,17.0,101.0,40.3,96.0
female,26,170.0,68.0,23.0,105.0,40.7,135.0
female,56,167.0,60.0,12.0,86.0,40.2,54.0
male,43,171.0,79.0,30.0,115.0,40.8,239.0
female,38,169.0,65.0,14.0,94.0,40.1,69.0
male,24,179.0,80.0,14.0,90.0,40.7,46.0
female,25,164.0,63.0,21.0,101.0,40.7,115.0
female,31,163.0,62.0,4.0,88.0,39.1,17.0
female,54,151.0,57.0,25.0,115.0,40.4,190.0
female,34,190.0,91.0,12.0,89.0,40.2,48.0
female,28,176.0,72.0,27.0,112.0,40.7,178.0
male,24,191.0,95.0,6.0,88.0,39.3,20.0
female,27,167.0,69.0,15.0,90.0,40.4,64.0
female,35,154.0,57.0,19.0,94.0,40.6,95.0
male,49,183.0,89.0,25.0,111.0,40.8,196.0
male,36,185.0,91.0,2.0,91.0,38.1,9.0
female,58,192.0,83.0,18.0,101.0,40.8,105.0
female,40,157.0,61.0,12.0,92.0,40.0,58.0
male,31,179.0,77.0,24.0,97.0,40.8,111.0
male,50,182.0,86.0,17.0,101.0,40.3,108.0
male,36,202.0,109.0,6.0,87.0,39.1,24.0
female,34,163.0,61.0,13.0,96.0,40.1,67.0
female,78,153.0,54.0,13.0,84.0,40.3,62.0
male,41,178.0,76.0,28.0,104.0,40.8,172.0
male,41,172.0,71.0,7.0,87.0,39.5,24.0
male,24,178.0,77.0,19.0,98.0,40.1,84.0
female,67,173.0,69.0,20.0,105.0,40.5,132.0
female,47,179.0,75.0,25.0,110.0,40.7,167.0
female,42,154.0,52.0,17.0,101.0,40.6,101.0
female,25,180.0,75.0,23.0,97.0,40.6,113.0
male,25,179.0,78.0,17.0,101.0,40.3,84.0
female,58,165.0,68.0,6.0,88.0,39.4,28.0
male,68,191.0,98.0,22.0,99.0,41.0,157.0
male,24,181.0,91.0,14.0,97.0,40.4,64.0
male,38,192.0,92.0,21.0,104.0,40.6,133.0
female,26,164.0,59.0,23.0,108.0,40.5,145.0
male,64,178.0,83.0,24.0,103.0,41.0,174.0
female,49,174.0,75.0,7.0,93.0,39.2,34.0
female,73,158.0,57.0,29.0,103.0,40.9,193.0
male,27,180.0,86.0,24.0,107.0,40.7,147.0
male,66,171.0,72.0,18.0,105.0,40.5,133.0
male,39,199.0,104.0,26.0,101.0,40.7,161.0
female,30,168.0,62.0,6.0,76.0,39.4,18.0
male,76,187.0,96.0,12.0,96.0,40.1,85.0
male,60,193.0,90.0,15.0,95.0,40.0,90.0
male,54,188.0,90.0,23.0,108.0,40.9,176.0
female,49,166.0,66.0,11.0,89.0,39.6,51.0
female,24,173.0,66.0,7.0,82.0,39.3,24.0
female,28,161.0,57.0,6.0,83.0,39.5,22.0
male,72,197.0,102.0,25.0,106.0,40.9,212.0
male,32,171.0,78.0,29.0,112.0,40.9,201.0
female,36,159.0,59.0,17.0,93.0,40.3,83.0
male,65,204.0,103.0,14.0,93.0,40.1,87.0
female,36,163.0,67.0,27.0,97.0,40.7,141.0
female,32,159.0,63.0,23.0,103.0,40.3,134.0
male,42,180.0,84.0,2.0,80.0,38.6,5.0
male,34,191.0,94.0,29.0,109.0,40.9,201.0
male,34,181.0,78.0,3.0,86.0,38.2,9.0
male,26,191.0,86.0,8.0,83.0,39.3,20.0
male,31,203.0,105.0,29.0,113.0,40.8,221.0
female,64,157.0,63.0,17.0,105.0,40.1,112.0
male,34,185.0,93.0,20.0,99.0,40.3,108.0
male,63,204.0,112.0,29.0,110.0,40.4,257.0
male,44,194.0,87.0,27.0,108.0,40.8,192.0
male,36,190.0,96.0,17.0,90.0,40.3,72.0
male,41,173.0,71.0,28.0,104.0,41.2,169.0
male,73,168.0,77.0,18.0,97.0,40.3,120.0
male,31,186.0,85.0,28.0,106.0,40.8,172.0
male,22,179.0,73.0,10.0,84.0,39.9,21.0
female,34,161.0,56.0,18.0,102.0,40.6,105.0
female,21,168.0,65.0,25.0,109.0,40.3,156.0
female,22,145.0,50.0,3.0,89.0,38.7,13.0
male,33,190.0,97.0,24.0,100.0,40.8,134.0
female,51,157.0,60.0,21.0,103.0,40.4,130.0
male,45,195.0,99.0,2.0,83.0,37.9,7.0
female,33,175.0,67.0,25.0,101.0,41.1,140.0
male,47,198.0,97.0,7.0,91.0,39.3,34.0
female,70,175.0,74.0,9.0,79.0,40.0,34.0
female,77,160.0,63.0,8.0,92.0,39.5,44.0
female,35,172.0,71.0,11.0,85.0,39.9,42.0
female,44,161.0,60.0,2.0,89.0,38.4,9.0
female,71,164.0,60.0,18.0,97.0,40.5,107.0
female,54,174.0,75.0,9.0,87.0,39.6,39.0
female,63,166.0,68.0,26.0,108.0,40.8,178.0
female,50,149.0,55.0,13.0,101.0,40.4,79.0
male,63,200.0,105.0,15.0,102.0,40.3,113.0
female,30,163.0,58.0,22.0,109.0,40.5,143.0
female,33,163.0,57.0,4.0,84.0,38.7,16.0
male,38,189.0,91.0,24.0,100.0,40.5,137.0
male,20,183.0,81.0,17.0,97.0,40.5,71.0
female,67,159.0,62.0,13.0,94.0,40.2,72.0
male,24,188.0,90.0,14.0,103.0,40.1,76.0
male,30,197.0,103.0,27.0,109.0,40.5,187.0
female,35,145.0,49.0,18.0,103.0,40.2,109.0
female,63,176.0,79.0,29.0,111.0,40.5,204.0
female,50,157.0,60.0,6.0,91.0,39.4,29.0
male,33,200.0,101.0,17.0,98.0,40.5,91.0
female,36,163.0,58.0,4.0,84.0,39.0,16.0
male,75,187.0,97.0,7.0,84.0,39.1,36.0
male,56,184.0,93.0,13.0,97.0,39.9,80.0
female,50,182.0,75.0,22.0,111.0,40.6,151.0
male,24,183.0,80.0,27.0,116.0,40.6,195.0
female,32,172.0,72.0,8.0,80.0,39.5,26.0
male,49,193.0,100.0,22.0,99.0,40.5,138.0
female,77,170.0,65.0,3.0,89.0,39.0,15.0
male,67,171.0,75.0,19.0,97.0,40.5,120.0
male,23,182.0,81.0,30.0,112.0,41.0,197.0
male,37,192.0,95.0,21.0,98.0,40.7,114.0
female,35,163.0,59.0,20.0,107.0,40.6,127.0
male,34,185.0,83.0,23.0,97.0,40.8,112.0
female,49,168.0,67.0,21.0,98.0,40.4,116.0
female,69,156.0,61.0,8.0,83.0,39.4,35.0
male,49,194.0,101.0,16.0,103.0,40.4,110.0
female,41,150.0,51.0,22.0,95.0,40.2,117.0
male,42,195.0,95.0,17.0,105.0,40.2,115.0
male,52,188.0,93.0,21.0,107.0,40.6,157.0
female,26,158.0,60.0,12.0,91.0,40.0,54.0
female,79,178.0,80.0,25.0,104.0,40.5,163.0
male,72,172.0,82.0,19.0,107.0,40.5,156.0
male,34,195.0,92.0,10.0,91.0,39.9,42.0
female,60,152.0,50.0,7.0,89.0,39.8,35.0
female,45,158.0,57.0,7.0,91.0,39.3,34.0
male,33,188.0,92.0,19.0,98.0,40.4,99.0
male,56,192.0,97.0,20.0,109.0,40.5,161.0
female,21,153.0,54.0,8.0,94.0,39.8,38.0
female,50,161.0,61.0,18.0,99.0,40.5,104.0
male,60,184.0,86.0,27.0,105.0,41.0,200.0
male,39,162.0,72.0,28.0,108.0,40.7,183.0
male,48,175.0,75.0,19.0,110.0,40.7,140.0
female,38,163.0,65.0,19.0,97.0,40.5,100.0
male,54,190.0,95.0,22.0,110.0,40.3,178.0
male,23,195.0,89.0,27.0,104.0,41.0,150.0
female,72,164.0,68.0,15.0,94.0,40.2,83.0
male,47,179.0,79.0,6.0,74.0,39.3,12.0
female,58,170.0,72.0,8.0,103.0,39.9,49.0
male,41,179.0,85.0,25.0,101.0,40.8,147.0
male,62,193.0,100.0,8.0,90.0,39.4,44.0
female,30,168.0,67.0,29.0,107.0,40.9,179.0
female,32,156.0,56.0,23.0,113.0,40.5,161.0
male,20,178.0,80.0,9.0,84.0,39.4,20.0
female,53,168.0,65.0,21.0,102.0,40.5,127.0
male,51,189.0,95.0,30.0,112.0,41.0,247.0
male,78,177.0,86.0,23.0,100.0,40.8,173.0
female,31,169.0,69.0,1.0,74.0,37.6,3.0
male,74,205.0,112.0,6.0,83.0,39.0,32.0
female,50,177.0,70.0,22.0,106.0,40.9,140.0
female,40,160.0,70.0,8.0,88.0,40.0,34.0
male,41,172.0,75.0,8.0,88.0,39.7,30.0
female,26,161.0,54.0,13.0,94.0,40.3,64.0
male,25,185.0,89.0,27.0,104.0,40.8,152.0
male,31,184.0,89.0,15.0,105.0,39.9,91.0
male,20,186.0,90.0,4.0,83.0,38.8,9.0
female,55,176.0,72.0,5.0,84.0,39.3,20.0
female,52,160.0,59.0,25.0,103.0,40.7,156.0
male,60,208.0,105.0,26.0,110.0,40.6,223.0
male,36,191.0,93.0,16.0,97.0,40.0,83.0
female,53,168.0,69.0,11.0,89.0,40.0,51.0
male,36,193.0,95.0,10.0,97.0,40.0,52.0
female,23,169.0,68.0,25.0,114.0,40.9,170.0
female,36,164.0,57.0,2.0,79.0,37.9,7.0
female,37,166.0,61.0,25.0,103.0,40.7,149.0
male,48,181.0,80.0,27.0,105.0,40.6,181.0
female,39,167.0,71.0,27.0,118.0,41.1,201.0
male,21,205.0,103.0,7.0,88.0,39.6,23.0
male,20,187.0,86.0,23.0,100.0,40.3,109.0
male,57,169.0,72.0,8.0,84.0,39.7,30.0
female,77,160.0,66.0,15.0,94.0,40.5,84.0
male,34,184.0,85.0,19.0,109.0,40.4,128.0
male,52,189.0,92.0,23.0,97.0,40.7,137.0
male,70,194.0,91.0,28.0,103.0,40.8,216.0
female,64,157.0,54.0,12.0,95.0,40.1,68.0
male,73,198.0,101.0,18.0,97.0,40.7,129.0
male,47,195.0,99.0,11.0,88.0,39.8,50.0
female,39,164.0,65.0,5.0,84.0,39.2,19.0
female,25,163.0,60.0,7.0,89.0,39.4,30.0
male,22,165.0,67.0,27.0,119.0,40.4,197.0
male,67,173.0,78.0,4.0,95.0,38.7,24.0
female,64,164.0,67.0,13.0,94.0,40.2,70.0
male,37,200.0,100.0,12.0,91.0,40.1,54.0
male,21,184.0,78.0,19.0,100.0,40.5,88.0
male,40,190.0,97.0,7.0,83.0,39.5,24.0
female,36,174.0,68.0,19.0,108.0,40.1,121.0
female,53,178.0,77.0,11.0,95.0,39.9,57.0
male,41,192.0,99.0,22.0,98.0,40.5,126.0
male,56,184.0,88.0,5.0,89.0,39.5,24.0
female,29,166.0,65.0,11.0,84.0,40.0,41.0
male,28,192.0,92.0,7.0,92.0,39.5,28.0
male,22,191.0,88.0,10.0,90.0,39.7,34.0
male,76,195.0,93.0,23.0,96.0,40.5,161.0
male,73,175.0,76.0,4.0,86.0,38.9,20.0
male,39,191.0,86.0,23.0,97.0,40.6,119.0
female,69,162.0,59.0,11.0,95.0,39.6,63.0
female,46,180.0,75.0,12.0,93.0,40.1,58.0
female,30,163.0,58.0,30.0,115.0,40.6,215.0
female,35,168.0,67.0,17.0,101.0,40.1,96.0
female,60,176.0,71.0,24.0,107.0,41.0,160.0
female,35,150.0,50.0,25.0,104.0,41.0,154.0
male,26,182.0,84.0,5.0,81.0,39.1,11.0
male,21,183.0,83.0,23.0,104.0,40.5,122.0
female,27,158.0,57.0,22.0,101.0,40.4,124.0
female,47,172.0,69.0,21.0,97.0,40.6,113.0
female,27,183.0,79.0,3.0,80.0,38.9,9.0
male,49,181.0,79.0,29.0,108.0,40.7,208.0
male,27,178.0,83.0,19.0,102.0,41.0,101.0
male,46,194.0,91.0,14.0,91.0,40.0,66.0
male,58,197.0,98.0,14.0,102.0,40.1,100.0
male,27,172.0,77.0,13.0,101.0,39.9,65.0
male,29,176.0,76.0,13.0,91.0,39.8,47.0
male,39,197.0,96.0,3.0,78.0,38.6,8.0
female,56,160.0,63.0,4.0,84.0,38.7,17.0
male,32,183.0,83.0,21.0,97.0,40.4,101.0
female,43,169.0,67.0,5.0,80.0,39.0,18.0
male,21,202.0,98.0,21.0,108.0,40.5,131.0
female,76,175.0,72.0,10.0,97.0,39.8,58.0
female,22,162.0,59.0,15.0,104.0,40.0,87.0
male,35,200.0,99.0,24.0,104.0,40.6,152.0
male,45,191.0,95.0,28.0,105.0,41.0,193.0
male,32,176.0,83.0,10.0,99.0,39.7,51.0
male,39,178.0,80.0,25.0,105.0,40.7,157.0
female,44,174.0,75.0,27.0,105.0,40.8,165.0
female,26,174.0,67.0,6.0,84.0,39.4,22.0
female,42,179.0,72.0,17.0,98.0,40.1,91.0
female,24,178.0,78.0,2.0,93.0,38.2,9.0
male,56,186.0,93.0,14.0,91.0,40.0,74.0
male,71,185.0,96.0,5.0,85.0,39.1,26.0
female,37,187.0,84.0,11.0,99.0,39.9,57.0
female,47,162.0,63.0,10.0,81.0,39.9,37.0
male,48,167.0,67.0,29.0,112.0,40.9,217.0
male,52,183.0,86.0,11.0,87.0,40.0,47.0
male,40,192.0,98.0,24.0,99.0,40.4,139.0
female,66,180.0,75.0,4.0,88.0,38.9,19.0
female,37,157.0,59.0,16.0,94.0,40.2,80.0
male,28,193.0,93.0,17.0,94.0,40.4,74.0
female,59,148.0,51.0,10.0,93.0,39.7,54.0
male,24,182.0,78.0,28.0,105.0,40.8,154.0
female,67,162.0,62.0,26.0,93.0,40.7,140.0
male,33,192.0,98.0,10.0,97.0,39.8,52.0
male,34,192.0,99.0,15.0,97.0,40.1,79.0
male,40,181.0,84.0,17.0,99.0,40.4,94.0
male,22,193.0,85.0,28.0,116.0,41.0,202.0
male,66,164.0,75.0,27.0,114.0,40.7,238.0
male,42,182.0,82.0,19.0,103.0,40.2,117.0
male,42,209.0,111.0,7.0,83.0,39.5,26.0
male,64,203.0,97.0,23.0,106.0,40.7,184.0
female,32,162.0,64.0,28.0,105.0,40.5,169.0
male,24,189.0,91.0,1.0,78.0,37.7,2.0
male,26,182.0,83.0,27.0,107.0,41.0,162.0
female,32,159.0,55.0,13.0,92.0,40.2,62.0
male,51,190.0,94.0,21.0,105.0,40.4,150.0
female,40,165.0,59.0,27.0,110.0,41.1,183.0
female,34,179.0,74.0,25.0,101.0,40.9,138.0
male,48,185.0,88.0,15.0,103.0,40.0,99.0
female,21,147.0,45.0,23.0,100.0,40.6,128.0
female,31,175.0,68.0,12.0,91.0,40.3,54.0
male,76,193.0,103.0,18.0,95.0,40.3,127.0
male,20,177.0,79.0,5.0,84.0,38.9,11.0
male,22,167.0,73.0,18.0,94.0,40.7,66.0
male,44,180.0,84.0,11.0,91.0,39.5,49.0
female,49,173.0,67.0,10.0,85.0,39.5,42.0
male,49,179.0,79.0,7.0,95.0,39.5,37.0
female,46,154.0,55.0,3.0,84.0,38.6,12.0
male,75,186.0,84.0,29.0,107.0,41.1,243.0
female,20,167.0,58.0,5.0,76.0,39.3,14.0
female,33,154.0,59.0,28.0,105.0,40.6,171.0
male,68,166.0,75.0,28.0,112.0,40.8,241.0
female,58,173.0,73.0,20.0,104.0,40.6,125.0
male,23,179.0,81.0,26.0,112.0,40.6,171.0
male,79,198.0,96.0,9.0,87.0,39.7,52.0
male,43,201.0,104.0,28.0,103.0,40.7,187.0
female,37,178.0,74.0,24.0,104.0,40.8,141.0
male,75,199.0,103.0,28.0,123.0,40.5,314.0
female,61,173.0,73.0,26.0,102.0,40.8,159.0
female,26,169.0,62.0,9.0,80.0,40.2,30.0
female,23,173.0,72.0,28.0,110.0,40.9,176.0
male,64,178.0,82.0,25.0,111.0,40.8,211.0
female,20,170.0,68.0,8.0,85.0,39.4,29.0
female,22,171.0,69.0,21.0,95.0,40.1,99.0
female,27,169.0,69.0,27.0,116.0,41.1,190.0
male,36,190.0,95.0,7.0,83.0,39.5,22.0
male,59,191.0,92.0,30.0,110.0,41.0,247.0
male,36,206.0,103.0,5.0,84.0,39.0,17.0
female,71,160.0,65.0,8.0,86.0,39.7,37.0
female,21,167.0,67.0,21.0,103.0,40.4,117.0
male,56,188.0,90.0,10.0,91.0,39.7,52.0
female,68,166.0,64.0,2.0,75.0,37.9,7.0
male,75,172.0,74.0,10.0,98.0,39.7,68.0
male,48,176.0,84.0,17.0,89.0,40.4,74.0
male,62,185.0,91.0,24.0,97.0,40.6,154.0
female,53,156.0,60.0,26.0,104.0,40.7,165.0
male,47,187.0,89.0,17.0,97.0,39.9,96.0
male,39,188.0,91.0,13.0,101.0,39.8,77.0
female,54,168.0,63.0,17.0,92.0,40.3,86.0
male,38,201.0,104.0,21.0,101.0,40.6,129.0
female,39,149.0,51.0,26.0,100.0,40.4,151.0
male,51,182.0,81.0,28.0,106.0,40.9,197.0
male,30,193.0,92.0,13.0,104.0,40.3,77.0
female,33,156.0,61.0,5.0,90.0,39.1,22.0
male,47,182.0,82.0,27.0,100.0,40.7,161.0
female,64,155.0,55.0,25.0,114.0,40.8,192.0
female,37,159.0,58.0,8.0,90.0,39.2,37.0
male,41,188.0,91.0,20.0,106.0,40.5,135.0
male,61,179.0,77.0,11.0,90.0,40.0,55.0
male,38,169.0,71.0,10.0,84.0,39.8,29.0
male,21,185.0,88.0,12.0,97.0,39.9,52.0
female,26,173.0,73.0,1.0,69.0,37.9,2.0
male,48,183.0,81.0,21.0,94.0,40.6,106.0
male,71,183.0,80.0,6.0,84.0,39.0,28.0
male,73,199.0,97.0,22.0,107.0,40.9,189.0
female,65,158.0,61.0,26.0,111.0,41.0,190.0
female,57,149.0,56.0,13.0,91.0,39.9,66.0
male,49,185.0,93.0,22.0,99.0,40.5,135.0
male,55,178.0,79.0,4.0,97.0,38.7,23.0
male,20,182.0,74.0,12.0,80.0,39.9,17.0
female,45,163.0,58.0,5.0,84.0,38.9,21.0
female,53,175.0,75.0,13.0,90.0,40.2,60.0
female,46,166.0,58.0,10.0,93.0,39.6,51.0
male,25,198.0,96.0,5.0,85.0,39.1,15.0
male,22,163.0,65.0,9.0,92.0,40.0,29.0
female,60,164.0,66.0,27.0,110.0,40.8,190.0
female,50,168.0,62.0,11.0,89.0,40.1,51.0
female,61,157.0,56.0,17.0,95.0,40.5,95.0
female,69,165.0,62.0,29.0,112.0,40.9,216.0
male,30,195.0,92.0,30.0,101.0,41.0,165.0
female,33,164.0,61.0,20.0,105.0,40.6,122.0
male,21,206.0,105.0,15.0,96.0,40.1,69.0
female,39,152.0,53.0,20.0,99.0,40.9,113.0
male,26,180.0,81.0,7.0,92.0,39.5,26.0
male,44,175.0,80.0,5.0,91.0,39.2,22.0
female,58,144.0,42.0,12.0,96.0,40.1,70.0
male,24,177.0,83.0,4.0,83.0,39.3,9.0
male,35,187.0,91.0,15.0,95.0,40.3,72.0
male,21,189.0,94.0,25.0,111.0,40.6,165.0
male,26,181.0,82.0,29.0,105.0,41.0,165.0
female,30,162.0,57.0,15.0,88.0,40.3,64.0
male,27,182.0,81.0,18.0,105.0,40.5,103.0
female,32,147.0,51.0,4.0,83.0,39.1,15.0
female,30,185.0,84.0,9.0,85.0,39.6,32.0
female,79,160.0,57.0,14.0,85.0,40.0,68.0
female,39,164.0,58.0,25.0,106.0,40.6,159.0
